Time [s],Pin4,Pin5,OtherStrobeMaybe_n,TRESETn,StrobeMaybe
1.793640780,1,0,0,1,0
1.793640940,0,0,0,1,0
1.793641060,0,1,0,1,0
1.793641200,1,0,0,1,0
1.793641320,1,1,0,1,0
1.793641440,0,0,0,1,0
1.793641560,0,1,0,1,0
1.793641700,0,0,0,1,0
1.793641820,0,1,0,1,0
1.793641940,0,0,0,1,0
1.793642060,0,1,0,1,0
1.793642200,0,0,0,1,0
1.793642320,0,1,0,1,0
1.793642440,1,0,0,1,0
1.793642560,1,1,0,1,0
1.793642700,1,0,0,1,0
1.793642820,1,1,0,1,0
1.793642940,1,0,0,1,0
1.793645920,1,0,0,1,1
1.793646460,1,0,0,1,0
1.793646620,0,0,0,1,0
1.793646740,0,1,0,1,0
1.793646860,1,0,0,1,0
1.793646980,1,1,0,1,0
1.793647120,1,0,0,1,0
1.793647240,1,1,0,1,0
1.793647360,0,0,0,1,0
1.793647480,0,1,0,1,0
1.793647620,1,0,0,1,0
1.793647740,1,1,0,1,0
1.793647860,1,0,0,1,0
1.793647980,1,1,0,1,0
1.793648120,0,0,0,1,0
1.793648240,0,1,0,1,0
1.793648360,0,0,0,1,0
1.793648480,0,1,0,1,0
1.793648620,0,0,0,1,0
1.793651600,0,0,0,1,1
1.793652120,0,0,0,1,0
1.793652280,1,0,0,1,0
1.793652400,1,1,0,1,0
1.793652540,0,0,0,1,0
1.793652660,0,1,0,1,0
1.793652780,0,0,0,1,0
1.793652900,0,1,0,1,0
1.793653040,1,0,0,1,0
1.793653160,1,1,0,1,0
1.793653280,0,0,0,1,0
1.793653400,0,1,0,1,0
1.793653540,0,0,0,1,0
1.793653660,0,1,0,1,0
1.793653780,1,0,0,1,0
1.793653900,1,1,0,1,0
1.793654040,0,0,0,1,0
1.793654160,0,1,0,1,0
1.793654280,0,0,0,1,0
1.793657260,0,0,0,1,1
1.793657800,0,0,0,1,0
1.793657940,1,0,0,1,0
1.793658080,1,1,0,1,0
1.793658200,0,0,0,1,0
1.793658320,0,1,0,1,0
1.793658460,1,0,0,1,0
1.793658580,1,1,0,1,0
1.793658700,0,0,0,1,0
1.793658820,0,1,0,1,0
1.793658960,0,0,0,1,0
1.793659080,0,1,0,1,0
1.793659200,0,0,0,1,0
1.793659320,0,1,0,1,0
1.793659460,0,0,0,1,0
1.793659580,0,1,0,1,0
1.793659700,1,0,0,1,0
1.793659820,1,1,0,1,0
1.793659960,1,0,0,1,0
1.793662920,1,0,0,1,1
1.793663460,1,0,0,1,0
1.793663740,1,1,0,1,0
1.793663860,1,0,0,1,0
1.793663880,0,0,0,1,0
1.793664000,0,1,0,1,0
1.793664120,1,0,0,1,0
1.793664240,1,1,0,1,0
1.793664380,1,0,0,1,0
1.793664500,1,1,0,1,0
1.793664620,0,0,0,1,0
1.793664740,0,1,0,1,0
1.793664880,0,0,0,1,0
1.793665000,0,1,0,1,0
1.793665120,1,0,0,1,0
1.793665240,1,1,0,1,0
1.793665380,0,0,0,1,0
1.793665500,0,1,0,1,0
1.793665620,0,0,0,1,0
1.793668600,0,0,0,1,1
1.793669140,0,0,0,1,0
1.793669420,0,1,0,1,0
1.793669540,0,0,0,1,0
1.793669660,0,1,0,1,0
1.793669800,1,0,0,1,0
1.793669920,1,1,0,1,0
1.793670040,0,0,0,1,0
1.793670160,0,1,0,1,0
1.793670300,0,0,0,1,0
1.793670420,0,1,0,1,0
1.793670540,0,0,0,1,0
1.793670660,0,1,0,1,0
1.793670800,1,0,0,1,0
1.793670920,1,1,0,1,0
1.793671040,0,0,0,1,0
1.793671160,0,1,0,1,0
1.793671300,0,0,0,1,0
1.793674280,0,0,0,1,1
1.793674820,0,0,0,1,0
1.793675080,0,1,0,1,0
1.793675220,0,0,0,1,0
1.793675340,0,1,0,1,0
1.793675460,0,0,0,1,0
1.793675580,0,1,0,1,0
1.793675720,0,0,0,1,0
1.793675840,0,1,0,1,0
1.793675960,1,0,0,1,0
1.793676080,1,1,0,1,0
1.793676220,0,0,0,1,0
1.793676340,0,1,0,1,0
1.793676460,0,0,0,1,0
1.793676580,0,1,0,1,0
1.793676720,0,0,0,1,0
1.793676840,0,1,0,1,0
1.793676960,0,0,0,1,0
1.793679940,0,0,0,1,1
1.813945980,0,0,0,1,0
1.813946260,0,1,0,1,0
1.813946380,1,0,0,1,0
1.813946500,1,1,0,1,0
1.813946640,0,0,0,1,0
1.813946760,0,1,0,1,0
1.813946880,1,0,0,1,0
1.813947000,1,1,0,1,0
1.813947140,0,0,0,1,0
1.813947260,0,1,0,1,0
1.813947380,0,0,0,1,0
1.813947500,0,1,0,1,0
1.813947640,0,0,0,1,0
1.813947760,0,1,0,1,0
1.813947880,0,0,0,1,0
1.813948000,0,1,0,1,0
1.813948140,0,0,0,1,0
1.813951120,0,0,0,1,1
1.813951640,0,0,0,1,0
1.813951920,0,1,0,1,0
1.813952060,1,0,0,1,0
1.813952180,1,1,0,1,0
1.813952300,0,0,0,1,0
1.813952420,0,1,0,1,0
1.813952560,0,0,0,1,0
1.813952680,0,1,0,1,0
1.813952800,0,0,0,1,0
1.813952920,0,1,0,1,0
1.813953060,0,0,0,1,0
1.813953180,0,1,0,1,0
1.813953300,0,0,0,1,0
1.813953420,0,1,0,1,0
1.813953560,0,0,0,1,0
1.813953680,0,1,0,1,0
1.813953800,0,0,0,1,0
1.813956780,0,0,0,1,1
1.834223540,0,0,0,1,0
1.834223800,0,1,0,1,0
1.834223940,0,0,0,1,0
1.834224060,0,1,0,1,0
1.834224180,0,0,0,1,0
1.834224300,0,1,0,1,0
1.834224440,1,0,0,1,0
1.834224560,1,1,0,1,0
1.834224680,1,0,0,1,0
1.834224700,0,0,0,1,0
1.834224800,0,1,0,1,0
1.834224940,0,0,0,1,0
1.834225060,0,1,0,1,0
1.834225180,0,0,0,1,0
1.834225320,0,1,0,1,0
1.834225440,0,0,0,1,0
1.834225560,0,1,0,1,0
1.834225680,0,0,0,1,0
